# of SR,DESCRIPTION,DATETIMEINIT,DATETIMECLOSED,STATUS,PROBADDRESS,SRX,SRY
13 ,Pick up abandoned bicycle(s), 11/17/2009, 11/18/2009,CLOSED,1315 GARDEN LN,"1,008,919.00","1,261,101.00"
14 ,Clean inlet, 11/17/2009, 12/16/2009,CLOSED,HONEYSUCKLE LN / MELANIE LN,"1,002,170.00","1,262,855.00"
15 ,Clean inlet, 11/17/2009, 11/17/2009,CLOSED,HOLIDAY DR / W WILLIAM ST,"997,293.00","1,256,055.00"
16 ,Clean inlet, 11/17/2009, 11/17/2009,CLOSED,IVY / S MATTIS AVE,"1,000,180.00","1,246,565.00"
17 ,Clean inlet, 11/17/2009, 11/17/2009,CLOSED,708 BALBOA DR,"1,006,325.00","1,248,570.00"
18 ,Clean inlet, 11/17/2009, 11/17/2009,CLOSED,PEACH ST / DEVONSHIRE DR,"1,006,084.00","1,246,562.00"
19 ,Clean inlet, 11/17/2009, 11/17/2009,CLOSED,1000 GALEN DR,"1,003,796.00","1,244,673.00"
20 ,Clean inlet, 11/17/2009, 11/18/2009,CLOSED,1706 BURNETTA ST,"1,000,966.00","1,262,803.00"
21 ,Clean inlet, 11/17/2009, 11/20/2009,CLOSED,HOLLYCREST DR / SANGAMON DR,"999,258.00","1,251,210.00"
22 ,Barricade setup due to flooding, 11/17/2009, 11/18/2009,CLOSED,2800 S MATTIS AVE,"1,000,241.00","1,242,317.00"
23 ,Clean inlet, 11/17/2009, 11/18/2009,CLOSED,S ELM ST / W SPRINGFIELD AVE,"1,007,535.00","1,254,945.00"
24 ,Sewer backup, 11/17/2009, 12/02/2009,CLOSED,1609 N MATTIS AVE,"999,793.00","1,262,905.00"
25 ,Clean inlet, 11/17/2009, 11/18/2009,CLOSED,713 BETHUME CT,"1,013,915.00","1,260,711.00"
26 ,Storm sewer problem/request, 11/17/2009, 11/18/2009,CLOSED,HENRY ST / S MATTIS AVE,"1,000,109.00","1,253,051.00"
27 ,Tree branch on ROW needs to picked up, 11/17/2009, 11/18/2009,CLOSED,2013 WINCHESTER DR,"998,660.00","1,246,601.00"
28 ,Clean inlet, 11/17/2009, 11/17/2009,CLOSED,1900 SOUTHWOOD DR,"999,543.00","1,248,564.00"
29 ,Clean inlet, 11/17/2009, 11/17/2009,CLOSED,510 N EDWIN ST,"1,003,087.00","1,258,046.00"
30 ,Clean inlet, 11/17/2009, 11/18/2009,CLOSED,HESSEL BLVD / S STATE ST,"1,008,487.00","1,251,178.00"
31 ,Clean inlet, 11/17/2009, 11/18/2009,CLOSED,S ELM ST / HESSEL BLVD,"1,007,414.00","1,251,184.00"
32 ,Clean inlet, 11/17/2009, 11/17/2009,CLOSED,DEVONSHIRE DR / S PROSPECT AVE,"1,005,455.00","1,246,596.00"
33 ,Clean inlet, 11/17/2009, 11/18/2009,CLOSED,W ARMORY AVE / S PROSPECT AVE,"1,005,399.00","1,252,316.00"
34 ,Clean inlet, 11/17/2009, 11/17/2009,CLOSED,N PROSPECT AVE / W VINE ST,"1,005,339.00","1,258,417.00"
35 ,Sewer backup, 11/17/2009, 11/18/2009,CLOSED,2316 WINCHESTER DR,"998,871.00","1,244,875.00"
36 ,Storm sewer problem/request, 11/17/2009, 11/17/2009,CLOSED,S FOURTH ST / E GREGORY DR,"1,012,196.00","1,251,856.00"
37 ,Pick up abandoned bicycle(s), 11/18/2009, 12/03/2009,CLOSED,1315 GARDEN LN,"1,001,414.00","1,260,775.00"
38 ,Tree hanger, 11/18/2009, 11/23/2009,CLOSED,914 W UNION ST,"1,004,967.00","1,255,346.00"
39 ,Pick up dead animal(s), 11/18/2009, 12/16/2009,CLOSED,N PROSPECT AVE / W VINE ST,"1,005,339.00","1,258,417.00"
40 ,Sewer backup, 11/18/2009, 12/16/2009,CLOSED,410 N ELM ST,"1,007,588.00","1,257,633.00"
41 ,Sewer backup, 11/18/2009, 12/16/2009,CLOSED,1207 MIMOSA DR,"1,003,046.00","1,259,389.00"
42 ,Blade or grade alley, 11/18/2009, 11/30/2009,CLOSED,1700 INDUSTRIAL PARK DR,"1,000,680.00","1,270,755.00"
43 ,Sewer backup, 11/19/2009, 11/20/2009,CLOSED,1202 N MCKINLEY AVE,"1,004,065.00","1,260,345.00"
